Transcript	Intron	Five_p_Score	Three_p_Score	
CNAG_06163	0	5.34288427622	12.8864468864	
CNAG_06163	1	7.02998236332	12.653968254	
CNAG_06163	2	4.97115723782	12.3674399674	
CNAG_06163	3	4.97115723782	13.2026048026	
CNAG_03442	0	5.46970560304	13.2880748881	
CNAG_03442	1	5.92983312983	11.6048840049	
CNAG_03442	2	7.3851037851	10.7338488672	
CNAG_03442	3	6.03011803012	11.4100664767	
CNAG_00862	0	7.23152896486	13.1915343915	
CNAG_00862	1	6.51336318003	12.9023470357	
CNAG_00862	2	5.34288427622	13.9157237824	
CNAG_00862	3	5.01739248406	9.37571564238	
CNAG_07380	0	5.97682811016	13.7142314476	
CNAG_07380	1	4.93219373219	13.3353954687	
CNAG_01357	0	5.78032831366	12.4249084249	
CNAG_01357	1	5.80393433727	13.3670872338	
CNAG_01356	0	6.36130782797	12.6360602361	
CNAG_01356	1	5.67711301045	12.2270519604	
CNAG_01356	2	5.4071360738	12.7088319088	
CNAG_01355	0	4.59796499796	13.3910188577	
CNAG_01355	1	5.35162121829	11.5719441053	
CNAG_01355	2	6.84368471035	12.6025776692	
CNAG_01355	3	5.42395875729	12.8168769502	
CNAG_01355	4	6.30156016823	12.6309048976	
CNAG_01355	5	5.95061728395	12.4659883327	
CNAG_01355	6	5.80393433727	14.0695156695	
CNAG_00861	0	6.80645773979	13.2443901777	
CNAG_00861	1	7.03817663818	11.0297652964	
CNAG_00861	2	5.30538597205	12.4860127527	
CNAG_00861	3	6.74215167549	9.20960520961	
CNAG_00861	4	5.22431149098	12.6882105549	
CNAG_00861	5	5.88500881834	11.5196309863	
CNAG_01353	0	5.22431149098	12.0831366165	
CNAG_01353	1	6.03581603582	11.3329534663	
CNAG_01353	2	7.2814000814	10.4995251662	
CNAG_01352	0	6.26720933388	8.61191154524	
CNAG_01352	1	6.03158323158	11.5915886583	
CNAG_01352	2	6.72001085334	8.67279880613	
CNAG_01352	3	5.22431149098	12.3680911681	
CNAG_01351	0	5.07290733957	13.4526658527	
CNAG_01351	1	6.81193867861	11.0774657441	
CNAG_01351	2	5.47019400353	11.4800705467	
CNAG_01351	3	6.80645773979	11.4159272826	
CNAG_01351	4	6.71794871795	10.9535748202	
CNAG_01351	5	5.36502509836	12.743019943	
CNAG_01351	6	5.05076651743	13.5121421788	
CNAG_01351	7	7.43025369692	11.7509157509	
CNAG_01351	8	6.06919006919	12.8027676028	
CNAG_01350	0	5.8908696242	10.418287885	
CNAG_01350	1	6.77872744539	11.5068240402	
CNAG_01350	2	5.88500881834	13.1582688916	
CNAG_01350	3	5.35162121829	11.7808167142	
CNAG_07386	0	5.84875864876	12.771618505	
CNAG_07386	1	5.30538597205	13.0407814408	
CNAG_07386	2	6.65695292362	12.3343372677	
CNAG_01359	0	6.97587844255	12.4107990775	
CNAG_01359	1	6.03581603582	11.6126984127	
CNAG_01359	2	6.98830552164	10.4945326279	
CNAG_01359	3	5.05076651743	12.2270519604	
CNAG_01359	4	4.89008275675	10.4183421517	
CNAG_01358	0	6.9661646995	13.9378103378	
CNAG_01358	1	6.09751729752	11.0781169448	
CNAG_01358	2	7.8452313119	10.931651065	
CNAG_05847	0	5.84778184778	12.1671957672	
CNAG_05847	1	6.84525844526	11.2025505359	
CNAG_05847	2	5.55664088997	13.2511192511	
CNAG_05847	3	5.17758784425	13.5319495319	
CNAG_05847	4	5.67711301045	13.7133089133	
CNAG_05847	5	5.17758784425	11.1230497897	
CNAG_05846	0	6.18201058201	12.694993895	
CNAG_05846	1	5.34288427622	13.0906525573	
CNAG_05846	2	5.6036358703	12.6110432777	
CNAG_05846	3	7.33544973545	13.14671008	
CNAG_05846	4	6.09133089133	12.9539546873	
CNAG_05846	5	5.61638854972	11.3979107312	
CNAG_05846	6	5.4071360738	13.5914258581	
CNAG_05846	7	6.74215167549	11.3550942884	
CNAG_05846	8	4.93219373219	12.1308913309	
