Transcript	150904CM018-B_al_sorted.bam	150904CM018-W_al_sorted.bam	150904CM763-B_al_sorted.bam	150904CM763-W_al_sorted.bam	150904CM764-B_al_sorted.bam
CNAG_00265T0	10	690.0	584.0	108.0	78.0
CNAG_00266T0	16	1228.0	846.0	90.0	125.0
CNAG_00267T0	8	469.0	669.0	25.0	117.0
CNAG_00268T0	76	4165.0	3589.0	340.0	570.0
CNAG_00269T0	3	142.0	247.0	1.0	74.0
CNAG_00270T0	21	3351.0	1251.0	384.0	228.0
CNAG_00271T0	4	233.0	351.0	40.0	58.0
CNAG_00272T0	30	817.0	2408.0	64.0	339.0
CNAG_00274T0	12	407.0	1399.0	36.0	252.0
CNAG_00275T0	35	1934.0	3368.0	144.0	860.0
CNAG_00276T0	7	206.0	588.0	20.0	95.0
CNAG_00277T0	4	221.0	386.0	18.0	37.0
CNAG_00278T0	3	453.0	535.0	46.0	75.0
CNAG_00279T0	44	4357.0	1663.0	285.0	387.0
CNAG_00280T0	29	2089.0	1094.0	179.0	197.0
CNAG_00283T0	4	686.0	222.0	38.0	46.0
CNAG_00284T0	7	235.0	742.0	22.0	92.0
CNAG_00284T1	7	148.0	685.0	16.0	84.0
CNAG_00285T0	38	1031.0	2421.0	36.0	576.0
CNAG_00286T0	24	1203.0	1771.0	122.0	314.0
CNAG_00287T0	63	2980.0	4727.0	368.0	1112.0
CNAG_00288T0	4	705.0	669.0	71.0	88.0
CNAG_00289T0	7	936.0	766.0	53.0	149.0
CNAG_00290T0	18	1557.0	538.0	63.0	128.0
CNAG_00291T0	16	254.0	1697.0	19.0	315.0
CNAG_00292T0	36	864.0	3045.0	120.0	1007.0
CNAG_00293T0	17	1150.0	1210.0	103.0	144.0
CNAG_00294T0	22	1684.0	2136.0	126.0	373.0
CNAG_00295T0	2	79.0	139.0	2.0	27.0
CNAG_00299T0	21	472.0	2250.0	39.0	376.0
CNAG_00300T0	36	1012.0	5425.0	97.0	970.0
CNAG_00301T0	67	4264.0	4284.0	155.0	1491.0
CNAG_00303T0	1	10.0	161.0	2.0	27.0
CNAG_00303T1	1	10.0	161.0	2.0	27.0
CNAG_00305T0	79	2295.0	8418.0	338.0	2387.0
CNAG_00305T1	80	2439.0	8596.0	357.0	2460.0
CNAG_00306T0	84	778.0	8463.0	80.0	3355.0
CNAG_00307T0	18	820.0	1447.0	88.0	288.0
CNAG_00308T0	19	1056.0	733.0	62.0	155.0
CNAG_00309T0	25	464.0	2582.0	39.0	495.0
CNAG_00310T0	8	427.0	426.0	37.0	45.0
CNAG_00311T0	25	1885.0	993.0	182.0	129.0
CNAG_00312T0	4	325.0	233.0	32.0	46.0
CNAG_00313T0	14	452.0	1657.0	37.0	317.0
CNAG_00314T0	20	609.0	2821.0	57.0	644.0
CNAG_00315T0	175	12619.0	12663.0	431.0	6445.0
CNAG_00316T0	13	2198.0	1155.0	138.0	213.0
CNAG_00317T0	12	649.0	580.0	51.0	91.0
CNAG_00318T0	30	2419.0	1194.0	139.0	203.0
CNAG_00319T0	26	1597.0	1228.0	126.0	220.0
CNAG_00319T1	26	1597.0	1228.0	126.0	220.0
CNAG_00320T0	8	249.0	623.0	24.0	87.0
CNAG_00321T0	1	57.0	166.0	3.0	39.0
CNAG_00322T0	17	726.0	584.0	48.0	143.0
CNAG_00323T0	4	135.0	165.0	3.0	26.0
CNAG_00326T0	34	1964.0	3186.0	133.0	408.0
CNAG_00327T0	1	124.0	73.0	16.0	8.0
CNAG_00328T0	51	1673.0	2419.0	76.0	495.0
CNAG_00329T0	30	3248.0	947.0	196.0	180.0
CNAG_00330T0	5	168.0	710.0	19.0	88.0
CNAG_00331T0	1	60.0	215.0	3.0	45.0
CNAG_00332T0	5	229.0	391.0	13.0	59.0
CNAG_00333T0	4	455.0	599.0	34.0	107.0
CNAG_00334T0	281	14506.0	8920.0	2238.0	1631.0
CNAG_00335T0	22	904.0	919.0	53.0	159.0
CNAG_00336T0	9	378.0	1012.0	30.0	186.0
CNAG_00337T0	139	5507.0	8469.0	184.0	3695.0
CNAG_00342T0	26	993.0	926.0	64.0	233.0
CNAG_00343T0	21	548.0	1832.0	58.0	287.0
CNAG_00344T0	15	318.0	1141.0	35.0	177.0
CNAG_00345T0	41	3372.0	1511.0	278.0	321.0
CNAG_00346T0	10	587.0	676.0	33.0	104.0
CNAG_00347T0	33	859.0	2283.0	55.0	466.0
CNAG_00348T0	6	631.0	1004.0	36.0	231.0
CNAG_00349T0	5	261.0	319.0	20.0	106.0
CNAG_00351T0	2	237.0	75.0	31.0	11.0
CNAG_00352T0	14	585.0	854.0	55.0	188.0
CNAG_00353T0	2	198.0	504.0	21.0	68.0
CNAG_00354T0	50	2405.0	2274.0	143.0	391.0
CNAG_00355T0	17	1581.0	934.0	132.0	154.0
CNAG_00356T0	54	1853.0	3609.0	127.0	922.0
CNAG_00357T0	8	467.0	1550.0	43.0	419.0
CNAG_00357T1	8	467.0	1550.0	43.0	419.0
CNAG_00358T0	6	351.0	609.0	34.0	80.0
CNAG_00358T1	6	351.0	609.0	34.0	80.0
CNAG_00359T0	5	260.0	796.0	27.0	65.0
CNAG_00360T0	36	2181.0	2738.0	131.0	663.0
CNAG_00360T1	36	2181.0	2738.0	131.0	663.0
CNAG_00361T0	38	2458.0	2493.0	164.0	576.0
CNAG_00362T0	18	816.0	1756.0	73.0	248.0
CNAG_00363T0	114	3895.0	5613.0	221.0	1203.0
CNAG_00364T0	9	440.0	1079.0	58.0	126.0
CNAG_00365T0	35	1245.0	3174.0	101.0	457.0
CNAG_00367T0	3	551.0	349.0	45.0	81.0
CNAG_00368T0	29	1306.0	2785.0	90.0	555.0
CNAG_00369T0	9	873.0	1189.0	70.0	210.0
CNAG_00370T0	81	12528.0	2981.0	2017.0	430.0
